Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
40688,353522N1194385W001,823664.6507,3917926.152,-119.438487,35.352195,2230.979,92.81738
40692,354131N1193501W001,831452.236,3924977.748,-119.350088,35.413095,1433.546,25.41537
40696,354378N1193409W001,832186.46,3927749.858,-119.340887,35.437795,1098.018,34.64879
40720,353481N1193595W001,830863.9741,3917732.686,-119.359488,35.348095,1390.922,9.591506
40740,353319N1193623W001,830675.4989,3915925.492,-119.362287,35.331895,1293.341,26.50159
40744,353258N1193441W001,832355.6752,3915309.537,-119.344088,35.325795,1053.581,35.22962
40748,353275N1193346W001,833212.7153,3915530.163,-119.334587,35.327495,1041.103,33.06648
40752,353403N1193234W001,834178.5512,3916988.478,-119.323387,35.340295,1126.525,43.72223
40756,353367N1193162W001,834848.1595,3916613.314,-119.316187,35.336695,1066.571,66.47785
40792,353211N1194241W001,825098.6106,3914522.093,-119.424087,35.321095,1259.077,51.54392
40796,353192N1193592W001,831009.2772,3914526.455,-119.359188,35.319195,1019.71,52.93902
40800,353106N1193415W001,832654.5009,3913631.418,-119.341487,35.310595,833.4027,68.16557
40804,353408N1192905W001,837168.2366,3917155.668,-119.290487,35.340795,946.0522,62.71403
40808,353394N1192902W001,837201.3444,3917001.319,-119.290188,35.339395,937.3705,52.38677
40812,353325N1192988W001,836447.94,3916206.264,-119.298788,35.332495,954.9116,37.63674
40840,353217N1192742W001,838730.3113,3915091.652,-119.274187,35.321695,875.8187,13.542
40844,353433N1192745W001,838612.7528,3917487.802,-119.274488,35.343295,890.3279,53.06811
40880,352203N1194142W001,826403.8314,3903368.489,-119.414187,35.220295,2315.848,60.27747
40884,352144N1193890W001,828722.5465,3902796.972,-119.388987,35.214395,2586.03,66.83337
40888,353128N1192787W002,838358.1431,3914088.527,-119.278688,35.312795,918.3236,16.45417
40892,353958N1192278W001,842636.9808,3923475.364,-119.227788,35.395795,875.6414,45.63106
40916,353142N1192612W001,839944.2033,3914303.892,-119.261188,35.314195,824.5706,27.50801
40920,353147N1192478W001,841161.0486,3914405.512,-119.247788,35.314695,751.0167,29.88873
40924,353361N1192526W001,840634.4645,3916763.969,-119.252588,35.336095,803.8362,34.74245
40928,353375N1192410W001,841683.4867,3916959.369,-119.240988,35.337495,772.353,31.28617
40944,353069N1192592W001,840156.7531,3913500.606,-119.259187,35.306895,818.6111,31.3318
