OBJECTID__,id,site_code,X,Y,lon,lat,Cclay_base_altitude,thickness_Cclay,gse
345,3605,367346N1204050W003,731716.7979,4068570.547,-120.404987,36.734595,-58.46252,16.00077,190.3748749
487,4166,367346N1204050W001,731716.7979,4068570.547,-120.404987,36.734595,-58.46252,16.00077,190.3748749
658,5980,367346N1204050W002,731716.7979,4068570.547,-120.404987,36.734595,-58.46252,16.00077,190.3748749
799,6908,362103N1198869W001,779872.5699,4011767.881,-119.886887,36.210295,-58.37157,29.29445,217.8018114
91,1725,361964N1196727W001,799188.7492,4010865.583,-119.672687,36.196395,-58.35006,36.4251,214.817625
793,6886,362778N1198875W001,779577.802,4019256.54,-119.887487,36.277795,-58.28233,27.51199,221.101221
114,1937,362478N1197627W001,790902.7287,4016295.394,-119.762687,36.247795,-58.24553,21.50076,222.8288129
115,1938,362483N1197632W001,790855.9291,4016349.377,-119.763187,36.248295,-58.05474,21.50973,222.7384586
146,2184,364727N1200229W001,766745.2,4040500.981,-120.022887,36.472695,-57.95963,15.52417,196.9118501
761,6547,358044N1195732W001,809670.0814,3967674.742,-119.573187,35.804395,-57.89566,39.77821,213.2409189
692,6159,362100N1198874W001,779828.6753,4011733.146,-119.887387,36.209995,-57.85817,29.3951,216.2877366
536,5142,362108N1196407W001,802011.7516,4012562.947,-119.640687,36.210795,-57.67725,30.91921,222.3298956
27,1550,367061N1203871W001,733401.7505,4065451.64,-120.387087,36.706095,-57.65827,16.55375,183.923956
90,1724,361983N1196704W001,799388.3893,4011083.542,-119.670387,36.198295,-57.5947,36.20344,215.4500725
664,6001,367055N1203869W001,733421.4355,4065385.55,-120.386887,36.705495,-57.57931,16.57817,183.8828143
360,3644,367055N1203870W001,733412.501,4065385.307,-120.386987,36.705495,-57.54712,16.57131,183.9161476
743,6431,367130N1203900W001,733121.7902,4066210.207,-120.389987,36.712995,-57.44456,16.38516,183.5925256
624,5565,362306N1197110W001,795614.8342,4014543.3,-119.710987,36.230595,-57.42281,25.50204,224.0142132
168,2272,361889N1198954W001,779184.2527,4009368.641,-119.895387,36.188895,-57.27999,30.97373,221.9547971
750,6503,364518N1200132W001,767686.4548,4038208.674,-120.013187,36.451795,-57.24853,16.77835,200.0106035
489,4172,367130N1203910W001,733032.4542,4066207.773,-120.390987,36.712995,-57.22182,16.36554,184.5767776
89,1723,361994N1196741W001,799051.3933,4011194.186,-119.674087,36.199395,-56.98771,35.86879,217.4153285
812,6940,362000N1196700W001,799417.8853,4011273.437,-119.669987,36.199995,-56.90804,35.92442,216.7007287
21,1341,367206N1204018W001,732044.7479,4067024.846,-120.401787,36.720595,-56.84326,16.12373,191.2057804
218,2443,364513N1200141W001,767607.4922,4038150.689,-120.014087,36.451295,-56.79729,16.84997,200.167034
93,1727,362108N1196474W001,801409.1934,4012542.074,-119.647387,36.210795,-56.7046,33.95905,219.1697249
358,3642,366947N1203877W001,733382.6356,4064185.224,-120.387687,36.694695,-56.70342,16.29306,187.5295336
537,5143,362108N1196479W001,801364.2264,4012540.518,-119.647887,36.210795,-56.64584,33.97712,219.0703482
640,5696,364443N1199771W002,770948.8317,4037477.343,-119.977087,36.444295,-56.6411,14.67112,202.7266797
349,3622,367201N1204054W001,731724.6743,4066960.647,-120.405387,36.720095,-56.514,16.06975,194.132913
564,5352,359781N1194835W003,817084.6953,3987239.489,-119.483487,35.978095,-56.1962,33.49388,202.262244
145,2183,364593N1200299W001,766163.6979,4038994.647,-120.029887,36.459295,-56.17052,17.37031,199.1071914
498,4850,362533N1198874W001,779674.2403,4016538.087,-119.887387,36.253295,-56.14079,28.39555,220.064738
697,6166,361380N1199260W001,776610.7103,4003632.731,-119.925987,36.137995,-55.93886,41.45983,228.1476451
61,1692,362522N1198877W001,779651.2016,4016415.154,-119.887687,36.252195,-55.72955,28.43576,220.0220215
535,5141,362172N1196482W001,801312.6703,4013249.832,-119.648187,36.217195,-55.60566,33.12555,217.6604728
530,5134,362100N1196910W001,797491.1308,4012318.479,-119.690987,36.209995,-55.53617,32.3871,217.8482353
822,6969,359600N1194800W001,817472.9901,3985242.166,-119.479987,35.959995,-55.48697,30.16046,198.5813712
547,5286,363133N1199046W001,777915.256,4023146.637,-119.904587,36.313295,-55.44195,24.22285,218.2643114
488,4171,367130N1204040W001,731871.0881,4066176.215,-120.403987,36.712995,-55.41524,16.066,194.076417
222,2447,364441N1199752W001,771119.8754,4037460.495,-119.975187,36.444095,-55.26838,14.79011,202.9823884
52,1672,363131N1199049W001,777889.024,4023123.581,-119.904887,36.313095,-55.23378,24.22733,218.4396067
604,5528,363053N1198438W001,783404.6907,4022435.461,-119.843787,36.305295,-55.20264,22.68948,217.7457747
291,2955,359636N1194782W001,817620.9578,3985647.56,-119.478187,35.963595,-54.7802,30.61878,199.0466599
110,1928,362692N1197932W001,788082.4552,4018578.938,-119.793187,36.269195,-54.53371,21.73059,223.0485308
632,5605,357978N1195732W001,809695.7375,3966942.314,-119.573187,35.797795,-54.45456,39.30431,214.744856
534,5140,362106N1196685W001,799512.3559,4012454.415,-119.668487,36.210595,-54.28065,33.07111,217.8183469
185,2289,362397N1197132W001,795382.7521,4015546.451,-119.713187,36.239695,-53.69869,24.21616,222.9614901
170,2274,361561N1199238W001,776745.0629,4005647.496,-119.923787,36.156095,-53.45782,36.00253,232.9566348
233,2540,358331N1194913W002,816959.7356,3971122.268,-119.491287,35.833095,-53.4186,13.85381,207.6279594
408,3841,361560N1199240W001,776727.4169,4005635.829,-119.923987,36.155995,-53.35439,36.0215,232.8702174
836,7202,364900N1200200W001,766945.6857,4042428.765,-120.019987,36.489995,-53.26344,13.72499,197.8641796
60,1686,362925N1199046W001,777989.1565,4020838.482,-119.904587,36.292495,-53.21323,26.20816,222.9235636
603,5522,363092N1198438W001,783390.5599,4022868.248,-119.843787,36.309195,-53.18572,22.661,215.7359649
