id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
6948,363703N1194577W001,817821.5805,4030851.193,-119.457687,36.370295,218.697,50.0094
4955,369949N1204377W001,728020.9122,4097375.303,-120.437687,36.994895,219.073,63.7015
7108,370141N1209006W001,686774.6256,4098496.51,-120.900587,37.014095,219.163,10
15,376843N1214339W001,638092.2987,4171941.721,-121.433887,37.684295,219.372,41.7227
4930,370816N1206552W001,708425.1067,4106496.363,-120.655187,37.081595,219.447,55.5177
804,370563N1209368W001,683452.1002,4103108.293,-120.936787,37.056295,219.5,99.6666
1135,350181N1189376W001,870727.0599,3882598.978,-118.937588,35.018095,219.733,10
513,370413N1209266W001,684395.4526,4101463.719,-120.926587,37.041295,219.947,106.341
3238,357205N1194897W001,817552.4774,3958631.469,-119.489688,35.720495,220.002,63.3201
856,371130N1207077W001,703673.6846,4109866.549,-120.707687,37.112995,220.114,54.4264
1200,370852N1206632W001,707704.0672,4106878.29,-120.663187,37.085195,220.369,55.3189
4049,377284N1213898W001,641896.9517,4176900.865,-121.389787,37.728395,220.414,73.0565
488,372607N1208782W001,688155.6697,4125902.632,-120.878187,37.260695,220.45,51.9319
4935,370599N1206118W001,712343.9783,4104184.649,-120.611787,37.059895,220.503,52.8119
5596,362294N1193323W001,829670.624,4015633.414,-119.332287,36.229395,220.558,48.1472
2336,361756N1193140W001,831543.404,4009724.745,-119.313987,36.175595,220.691,52.5316
1207,370566N1206066W001,712815.6249,4103830.113,-120.606587,37.056595,221.024,57.1769
4710,370085N1205352W001,719303.7489,4098655.148,-120.535187,37.008495,221.111,73.3595
3232,357316N1195092W001,815743.8754,3959800.27,-119.509187,35.731595,221.253,79.7351
5747,357316N1195092W002,815743.8754,3959800.27,-119.509187,35.731595,221.253,79.7351
1164,369985N1208863W001,688085.4388,4096793.797,-120.886287,36.998495,221.344,44.5176
1963,364442N1195652W001,807880.8455,4038703.921,-119.565187,36.444195,221.371,27.5967
3240,357177N1194772W001,818694.8854,3958361.321,-119.477187,35.717695,221.403,55.7394
5188,368655N1207291W001,702427.231,4082358.898,-120.729087,36.865495,221.422,70
1208,370649N1206266W001,711013.9938,4104706.475,-120.626587,37.064895,221.429,50.0638
5855,352669N1191373W001,851419.9503,3909487.097,-119.137288,35.266895,221.633,10
29,376388N1213233W001,647935.4542,4167061.904,-121.323287,37.638795,221.665,80
4595,372318N1208524W001,690516.601,4122747.559,-120.852387,37.231795,221.684,72.8116
4600,370413N1209257W001,684475.5022,4101465.466,-120.925687,37.041295,222.169,103.573
4588,371410N1209927W001,678282.4641,4112399.629,-120.992687,37.140995,222.293,44.8663
165,377388N1214461W001,636916.1506,4177970.967,-121.446087,37.738795,222.488,160.335
861,370980N1206896W001,705322.6326,4108241.152,-120.689587,37.097995,222.907,50.8587
1935,364553N1195829W001,806250.0381,4039879.373,-119.582887,36.455295,223.147,20.9369
952,369988N1204952W001,722891.6633,4097671.789,-120.495187,36.998795,223.163,73.6962
5750,359372N1192728W001,836265.3184,3983406.913,-119.272788,35.937195,223.165,44.7625
3251,359372N1192728W002,836265.3184,3983406.913,-119.272788,35.937195,223.165,44.7625
4915,369980N1208852W001,688184.5657,4096740.495,-120.885187,36.997995,223.167,44.8285
2300,364078N1195221W001,811891.316,4034802.794,-119.522087,36.407795,223.177,45.1332
2868,363250N1194124W001,822074.3695,4025973.733,-119.412387,36.324995,223.401,62.4831
4599,370432N1209268W001,684373.0665,4101674.144,-120.926787,37.043195,223.421,108.284
2553,360228N1193020W001,833269.0242,3992806.97,-119.301987,36.022795,223.431,37.467
6224,357176N1194914W001,817410.1493,3958304.13,-119.491388,35.717595,223.475,60.1612
1199,370730N1206521W001,708724.2901,4105548.913,-120.652087,37.072995,223.878,57.3715
823,370157N1209004W001,686788.5027,4098674.429,-120.900387,37.015695,224.121,10
6949,363486N1194269W001,820675.2262,4028544.726,-119.426887,36.348595,224.344,78.37
5608,361081N1192862W001,834331.7826,4002328.496,-119.286187,36.108095,224.364,47.2715
1353,369207N1202593W001,744137.0126,4089583.992,-120.259287,36.920695,224.388,10
3231,357322N1195153W001,815189.5448,3959847.209,-119.515287,35.732195,224.668,80.0964
7109,370058N1208910W001,687649.2124,4097594.483,-120.890987,37.005795,224.897,18.089
5599,361858N1193131W001,831581.3254,4010859.903,-119.313087,36.185795,225.004,48.9061
4351,376127N1213219W001,648110.7814,4164168.129,-121.321887,37.612695,225.067,37.7773
2096,361856N1193587W001,827479.4445,4010682.587,-119.358687,36.185595,225.117,23.2625
5187,369549N1208371W001,692573.8916,4092054.551,-120.837087,36.954895,225.26,69.1079
2100,369530N1203532W001,735671.3278,4092931.714,-120.353187,36.952995,225.493,80
194,374932N1211179W001,666383.0296,4151250.06,-121.117887,37.493195,225.851,71.3772
5310,364517N1195829W001,806264.213,4039479.84,-119.582887,36.451695,225.898,25.6574
1188,370860N1206774W001,706439.56,4106936.09,-120.677387,37.085995,226.097,55.1559
4645,371196N1207327W001,701434.6002,4110545.513,-120.732687,37.119595,226.206,56.5707
2084,362183N1193226W001,830589.6578,4014434.535,-119.322587,36.218295,226.256,45.1582
2601,358333N1192578W001,838061.3192,3971927.229,-119.257788,35.833295,226.294,56.6867
47,376002N1213333W002,647129.1681,4162763.239,-121.333287,37.600195,226.309,68.5486
2873,360767N1193217W001,831266.5596,3998721.798,-119.321687,36.076695,226.411,32.108
6953,362979N1194028W001,823048.5106,4022998.072,-119.402787,36.297895,226.431,31.8072
